ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,143.36082,16.980576;1,221.94331,20.03029;2,141.5618,110.149216;3,221.38483,111.072784;1739415669.6334999;1739415669.6477833;0.014284372329711914#0.0063#1739415669.64784#1739415669.64923
0,143.55545,17.42149;1,221.6337,20.451675;2,141.72984,110.5692;3,220.9179,110.37125;1739415669.6435103;1739415669.6537638;0.010255098342895508#0.00598#1739415669.65382#1739415669.65528
0,143.34492,17.201239;1,222.90479,19.668913;2,141.27594,110.963615;3,222.00822,110.62941;1739415669.6535225;1739415669.6598358;0.006314516067504883#0.00607#1739415669.65988#1739415669.66134
0,143.34492,17.201239;1,222.90479,19.668913;2,141.27594,110.963615;3,222.00822,110.62941;1739415669.6535225;1739415669.665669;0.012147188186645508#0.00583#1739415669.66571#1739415669.6674
0,143.6387,17.643002;1,221.77977,19.884556;2,140.60045,110.78374;3,221.15305,110.9056;1739415669.663518;1739415669.6716363;0.008119344711303711#0.00597#1739415669.67168#1739415669.67347
0,143.6387,17.643002;1,221.77977,19.884556;2,140.60045,110.78374;3,221.15305,110.9056;1739415669.663518;1739415669.6781206;0.014603853225708008#0.00648#1739415669.67816#1739415669.67953
0,142.37961,17.502382;1,221.18637,19.89468;2,140.17361,110.95216;3,220.7578,111.832306;1739415669.6735823;1739415669.6840186;0.010437488555908203#0.0059#1739415669.68407#1739415669.68559
0,142.4083,17.690598;1,221.66977,20.513496;2,140.56424,111.44074;3,221.18463,112.012474;1739415669.68355;1739415669.6900523;0.006503582000732422#0.00604#1739415669.69011#1739415669.69165
0,142.4083,17.690598;1,221.66977,20.513496;2,140.56424,111.44074;3,221.18463,112.012474;1739415669.68355;1739415669.6958232;0.01227426528930664#0.00577#1739415669.69587#1739415669.6977
0,143.01027,18.83808;1,221.64682,20.705456;2,140.51361,111.55984;3,220.92682,110.68711;1739415669.693548;1739415669.7023568;0.008809804916381836#0.00654#1739415669.7024#1739415669.70382
0,143.01027,18.83808;1,221.64682,20.705456;2,140.51361,111.55984;3,220.92682,110.68711;1739415669.693548;1739415669.708294;0.014746904373168945#0.00593#1739415669.70834#1739415669.70983
0,142.91133,17.889559;1,221.48274,19.717293;2,140.29054,110.98528;3,221.81752,110.76455;1739415669.70355;1739415669.7140927;0.010544300079345703#0.00581#1739415669.71415#1739415669.7159
